rank,prev_rank,rider,team,points,manager
283,948,BOICHIS Adrien,Red Bull - BORA - hansgrohe,137,
284,190,DE LA CRUZ David,Pinarello Q36.5 Pro Cycling Team,137,
285,325,NERURKAR Lukas,EF Education - EasyPost,136,
286,417,LEITÃO Iúri,Caja Rural - Seguros RGA,136,
287,287,PEÑALVER Manuel,Team Polti VisitMalta,136,
288,265,BOL Cees,Decathlon CMA CGM Team,136,
289,592,DEKKER David,BEAT CC p/b Saxo,134,
290,293,HERRADA Jesús,Burgos Burpellet BH,131,
291,576,UMBA Santiago,Solution Tech NIPPO Rali,131,
292,445,SPARFEL Aubin,Decathlon CMA CGM Development Team,131,
293,149,CASTRILLO Pablo,Movistar Team,129,
294,952,PRONSKIY Vadim,Terengganu Cycling Team,129,
295,247,PRADES Eduard,Caja Rural - Seguros RGA,129,
296,1833,HARDOUIN Louis,Van Rysel Roubaix,129,
297,394,BONNEU Kamiel,Solution Tech NIPPO Rali,129,
298,299,PEÑA Jesús David,Efapel Cycling,129,
299,450,MAESTRI Mirco,Team Polti VisitMalta,128,
300,294,DONOVAN Mark,Pinarello Q36.5 Pro Cycling Team,126,
301,455,MARTÍ Pau,NSN Cycling Team,126,
302,443,CAVAGNA Rémi,Groupama - FDJ United,124,
303,1558,BLEDDYN Oliver,Team Brennan,123,
304,390,OLDANI Stefano,Caja Rural - Seguros RGA,123,
305,291,MILESI Lorenzo,Movistar Team,123,
306,630,BRUSTENGA Marc,Equipo Kern Pharma,123,
307,274,MÜHLBERGER Gregor,Decathlon CMA CGM Team,123,
308,430,KOERDT Bjorn,Team Picnic PostNL,122,
309,1010,DATI Tommaso,Team UKYO,122,
310,1204,BALMER Alexandre,Solution Tech NIPPO Rali,121,
311,397,PLOWRIGHT Jensen,Alpecin - Premier Tech,120,
312,106,BAGIOLI Andrea,Lidl - Trek,120,
313,216,KOPECKÝ Matyáš,Unibet Rose Rockets,120,
314,0,JEŽEK Václav,Kasper crypto4me,120,
315,133,SALBY Alexander,Li Ning Star,119,
316,1899,THÉOT Killian,Van Rysel Roubaix,119,
317,410,AGIRRE Jon,Euskaltel - Euskadi,118,
318,704,GLIVAR Gal,Alpecin - Premier Tech,118,
319,1802,BRAVO Henrique,Soudal Quick-Step Devo Team,117,
320,459,SEPÚLVEDA Eduardo,Li Ning Star,117,
321,1868,BROWNING Fergus,Terengganu Cycling Team,116,
322,507,VERRE Alessandro,MBH Bank CSB Telecom Fort,116,
323,540,KRETSCHY Moritz,NSN Cycling Team,116,
324,145,VAN DEN BERG Marijn,EF Education - EasyPost,115,
325,432,TJØTTA Martin,Uno-X Mobility,115,
326,328,ZANONCELLO Enrico,Bardiani CSF 7 Saber,115,
327,2504,CHRISTIE-JOHNSTON Alastair,CCACHE x BODYWRAP,115,
328,74,MAS Enric,Movistar Team,114,
329,866,SEVILLA Diego Pablo,Team Polti VisitMalta,113,
330,127,VACEK Mathias,Lidl - Trek,112,
